session_id,x_m,y_m,zone_id,zone_name,n_visible,rssi_A1,rssi_A2,rssi_A3,rssi_A4
0,8.784968610610315,3.370933403374188,2,Z0_2,3,-77.00271593661375,-74.73312214490036,-105.0,-70.38795826711596
0,8.897692731307119,3.0676843375993923,2,Z0_2,3,-75.33445899667187,-74.55733056617821,-82.81291516896376,-105.0
0,8.504859949090807,3.0324709825505693,2,Z0_2,3,-70.48752877424621,-105.0,-78.2759091068441,-70.01648906420324
0,8.566457891348357,2.7953682118226584,2,Z0_2,4,-72.08409171344697,-78.32083863167186,-82.08861765193029,-69.38911545336217
0,8.589674023655029,2.4570367927367314,2,Z0_2,4,-70.50208817925008,-73.69124059002183,-79.0284125765615,-69.57443979723864
0,8.557706902019298,2.059999527307452,2,Z0_2,4,-72.27786011560748,-77.66127590686008,-75.26644680903212,-74.72583828781448
0,8.628829559998584,2.4893342508274445,2,Z0_2,4,-72.33890463280031,-77.67305732688177,-77.16123805511991,-72.05928747528945
0,8.64307213360564,2.9083827862342213,2,Z0_2,4,-73.35827673583849,-75.21504513780094,-77.80553108819981,-71.97896537834686
0,8.691769381684198,2.511442552213949,2,Z0_2,4,-71.41489551516608,-74.85549943191131,-78.45888855224223,-69.31572955201582
0,8.547058134441889,2.7291725909785085,2,Z0_2,3,-105.0,-74.68461073117307,-82.32086601240786,-72.58152016269194
0,8.45205592895083,3.0452692833884525,2,Z0_2,4,-69.50638402776316,-80.51895055584453,-78.15047109305165,-70.7202586448063
0,8.125323550086302,3.0474544979407967,2,Z0_2,4,-66.73471055316026,-75.81180390274217,-82.1521949095652,-71.68368498390298
0,8.006447244654016,3.3334793446658217,2,Z0_2,3,-74.76045453723687,-105.0,-83.0387282278732,-70.45570646385636
0,8.440259901443454,3.533152433835,2,Z0_2,4,-64.1812734597661,-73.30446989720903,-82.36303565315922,-77.60880834579095
0,8.196857924522218,3.5488572905795346,2,Z0_2,4,-73.1275912524742,-77.41478722240258,-84.1387413100106,-73.28881453822652
0,8.645131875624525,3.4989277307256192,2,Z0_2,3,-76.68089284780012,-77.68549920176142,-81.80067549457792,-105.0
0,8.267604253247729,3.8734340920723302,2,Z0_2,3,-69.42795824599708,-73.14539907290437,-80.41625409116264,-105.0
0,8.432697046470853,3.69580066415066,2,Z0_2,3,-73.7477548103692,-75.41948568719475,-105.0,-74.50722990276357
0,8.766352756618401,3.7295581190305533,2,Z0_2,4,-69.44820285365059,-74.27258369429865,-77.81474479811159,-76.3970529478096
0,8.426486427769603,2.952729026742753,2,Z0_2,3,-68.19242897157847,-77.64781168189359,-105.0,-78.00359750197417
0,8.023542485032996,2.865042948925994,2,Z0_2,4,-71.27298475628777,-80.59460740926265,-83.39183547165862,-66.17531138745167
0,7.986717589354193,2.549198504020045,1,Z0_1,4,-65.02211024546801,-78.75858287303599,-79.74302813091361,-70.53172739502092
0,8.312900214956725,2.522559755019149,2,Z0_2,3,-70.05876450271822,-77.69851648232567,-77.9685075151991,-105.0
0,8.344549641124056,2.1628310951778005,2,Z0_2,4,-63.80325693309467,-71.85089590817111,-78.33945013111568,-74.74977009186615
0,8.37082456363877,1.8608454355169615,2,Z0_2,4,-74.77457223173118,-74.22015765140861,-78.23985484139519,-76.0716386613248
0,8.345626825818082,2.2261016867272083,2,Z0_2,4,-65.79922791188754,-84.18203039001341,-80.19374675174228,-71.86312153693858
0,8.912270515127457,1.897108998852374,2,Z0_2,4,-69.58589209090013,-74.77789329064264,-81.04828740686635,-71.39280977472211
0,8.54320540937694,2.014233708199106,2,Z0_2,3,-67.99185033830948,-105.0,-77.55470578535085,-76.92929428733858
0,8.123312366519066,1.912861971555066,2,Z0_2,4,-68.93463214822943,-80.45530733329205,-81.3329421921198,-72.22605900964463
0,8.130515723842324,1.6042510000923356,2,Z0_2,4,-63.523762799699426,-83.42203074409792,-81.19366561369827,-71.70584380322424
0,8.211892092838944,1.3610981556912394,2,Z0_2,3,-67.42020626039007,-76.88578304498193,-78.77620673723246,-105.0
0,8.106038484641104,0.9985972526592817,2,Z0_2,3,-62.64071360590367,-80.23863980247934,-105.0,-73.60939233700273
0,8.161450134773514,0.8813625626938902,2,Z0_2,4,-67.7146776922601,-84.18459022114803,-74.89720822399087,-75.6461904683764
0,8.365146484267497,0.5279622422289333,2,Z0_2,3,-66.76955095899119,-77.08162339890778,-105.0,-74.96696372517188
0,8.688562605075958,0.5162080254961202,2,Z0_2,3,-66.13382864893974,-84.78975248459949,-84.25848488147136,-105.0
0,9.147484354747037,0.6489766387228894,2,Z0_2,4,-70.36151297035873,-74.8030552387566,-80.47384171153979,-75.66968396862335
0,9.227842856684898,0.47105362183948774,2,Z0_2,3,-105.0,-77.91575031060606,-84.00590022496961,-71.92016381809535
0,9.120867615555929,0.0556252941707322,2,Z0_2,3,-105.0,-80.05464857919759,-79.95384076366733,-73.06610489010737
0,9.437718798346204,0.1670845386284699,2,Z0_2,4,-69.65908821846594,-79.9012377955234,-80.1300837286176,-67.7493774662886
0,9.47102583560803,0.5144982538330842,2,Z0_2,4,-70.05217281937243,-81.66337453680445,-85.85622941838773,-79.16929939415161
0,9.23162517259876,0.4182891421989215,2,Z0_2,4,-69.24350971928988,-80.37361292714664,-81.75909090355887,-72.87157952133016
0,9.491392545258343,0.7905971164614489,2,Z0_2,4,-66.88521113272503,-78.60574286745796,-79.27611139786256,-72.58963252228838
0,9.557951068889686,1.24912581690604,2,Z0_2,4,-70.58207662001826,-79.275633099332,-79.58631235217271,-72.37061684467712
0,9.694337291871078,1.6886443151032084,2,Z0_2,3,-105.0,-82.51773532568231,-89.8611125346568,-71.93511913757659
0,9.538241456571633,1.308911978833445,2,Z0_2,3,-71.38762819760692,-78.59715328274058,-78.54178109719139,-105.0
0,9.449471891000178,1.0924904124654682,2,Z0_2,4,-71.86124082510561,-74.31725012217828,-82.21870247385927,-67.55872938365775
0,9.355359681407682,1.3976339916626328,2,Z0_2,4,-69.97358704868587,-82.82819190465457,-78.80696582801883,-73.14334902746113
0,9.380126271518577,1.0297113291176574,2,Z0_2,4,-71.82062062295275,-79.0380286601,-80.23492728505282,-75.17634999282623
0,9.409768071599443,0.8832186593907642,2,Z0_2,4,-71.29146059568917,-79.65870803726018,-83.17663283114736,-75.4669479232613
0,9.793197584449214,0.8883328652459803,2,Z0_2,3,-105.0,-76.2388582134336,-79.04157608272226,-72.27124195263156
0,9.436399558850773,0.9145364464534185,2,Z0_2,3,-73.82027420624827,-78.14775191559146,-105.0,-68.26419131647066
0,9.239151551916871,0.2921472294928058,2,Z0_2,3,-74.11139966800255,-105.0,-82.51906198613551,-71.19014788950668
0,9.176392798273179,0.5784857011825821,2,Z0_2,4,-68.57503717846485,-76.66562421488857,-79.45635139041616,-78.29095091589176
0,9.571025013027485,0.49782581075184484,2,Z0_2,4,-75.10129926682298,-77.08829094645031,-80.45644610189392,-74.69355757778808
0,9.268138642367479,0.4444805760353724,2,Z0_2,4,-71.6370833134661,-75.05324502256839,-84.05150173765378,-80.57463472194597
0,9.237090244747884,0.7658582810513055,2,Z0_2,3,-71.05336326010823,-82.11859947744804,-105.0,-71.25918484652149
0,9.222889923307132,0.47738395774816167,2,Z0_2,4,-75.47709650135914,-78.59199419874668,-82.04899807512123,-67.7967091082229
0,8.904829949686256,0.3904792329616834,2,Z0_2,3,-68.74202067492187,-75.40217837720117,-81.58986878873314,-105.0
0,8.393264115754189,0.43868591651423594,2,Z0_2,4,-69.06382273348909,-86.47948003359095,-77.76279431072334,-73.69057513223142
0,8.583614026931398,0.5597849485046287,2,Z0_2,3,-63.79304608627155,-80.09528442985328,-105.0,-73.14089141894699
0,8.505372393535254,0.0,2,Z0_2,4,-70.6661056616988,-82.06040628004067,-81.01111882885571,-71.61594642842384
0,8.414314905143108,0.0,2,Z0_2,3,-105.0,-77.34193426223571,-80.36469562088311,-72.95779480909204
0,8.257967110356239,0.4185749035274662,2,Z0_2,4,-67.996054688332,-81.82735884358456,-80.28308837973513,-71.33066681821883
0,8.334698834402362,0.6545588116148431,2,Z0_2,3,-70.82116173970498,-105.0,-79.79836891852374,-72.65919558545554
0,8.065399662596809,0.4925716121756661,2,Z0_2,4,-72.93616119207711,-75.6041187837812,-76.21005655314475,-77.94346257796514
0,7.678227992938239,0.4032585500171798,1,Z0_1,3,-105.0,-79.4992292119019,-82.46867227468047,-69.35244662821617
0,8.092190633888029,0.4475131124375851,2,Z0_2,4,-62.517947008906674,-76.76508603719947,-77.59934573572416,-72.98940957994256
0,8.260372295818112,0.9704126465261556,2,Z0_2,4,-63.522423949600004,-77.3368579560074,-75.72502506113922,-73.97662765845966
0,8.405497258469413,1.1902613814521812,2,Z0_2,3,-66.89907445056411,-76.71682391312979,-105.0,-73.8702130847235
0,7.970992725672498,1.081891498716375,1,Z0_1,3,-65.70740300718099,-105.0,-75.57211856291684,-71.0290518091048
0,7.913203314864733,0.757179980213365,1,Z0_1,3,-67.40575850688637,-80.12438942891154,-105.0,-75.98935898268795
0,8.406981008856379,0.6409720289399362,2,Z0_2,4,-74.06966312128164,-84.14112490089958,-79.96231484024035,-74.12780639117875
0,8.294202932367208,0.2529913777609467,2,Z0_2,3,-69.25031877304062,-81.645583859897,-105.0,-70.59739583444662
0,8.469572035037316,0.5936615127955975,2,Z0_2,3,-67.51288691999983,-77.53849398199344,-105.0,-71.64179741871331
0,8.822680593814432,0.6215191042467781,2,Z0_2,3,-105.0,-77.73800881954791,-79.1819975695369,-79.46983243669399
0,9.181078694145878,0.5521684877895501,2,Z0_2,3,-67.70535237793,-83.01169980887926,-82.03475123582614,-105.0
0,9.23255168302595,0.7352010104667177,2,Z0_2,4,-66.71609375372398,-80.10392358475266,-88.30505056160173,-78.00355441995728
0,8.98748564408029,0.6675992798985808,2,Z0_2,3,-72.27647647291964,-77.33249116327521,-85.20234628631138,-105.0
0,9.5435154611327,0.6450561349757709,2,Z0_2,4,-75.07434635403115,-78.85216487425124,-84.33897072239938,-74.87100269590218
0,10.037145636789027,0.697997475688343,2,Z0_2,3,-105.0,-84.91231755133673,-82.48005924209494,-74.45967668321245
0,10.020173657146989,0.38937670740736446,2,Z0_2,3,-73.0348003871625,-105.0,-81.5843985975195,-71.17767344810021
0,10.011385982905427,0.1334056538957234,2,Z0_2,4,-69.67985280293387,-79.17665086323068,-79.01589962202034,-71.57007812913456
0,10.068326545320149,0.17169422753422836,2,Z0_2,4,-83.36088717846141,-84.97323172224107,-80.3548490194564,-71.47710630154131
0,10.068134560002514,0.562497845222355,2,Z0_2,3,-67.64654459317372,-105.0,-84.59865700302426,-72.43776355782704
0,10.160570335721257,0.9159590326408806,2,Z0_2,4,-73.6958528877023,-79.4404613527546,-80.90385237035497,-69.36412188791441
0,10.204951606659568,1.3122960132441492,2,Z0_2,3,-77.7588853997615,-78.05912141954944,-105.0,-69.08526868032912
0,10.265382846440117,1.6320340372971045,2,Z0_2,4,-74.96014666690186,-75.84697098189183,-77.06009858814417,-63.90534084849581
0,10.278459265231271,2.0644093504847225,2,Z0_2,4,-74.0660599820491,-80.20300608024797,-82.67231436375128,-66.19236870603643
0,10.354084081594252,2.452293610830562,2,Z0_2,4,-78.07638608563988,-73.336378036094,-82.94025721363782,-71.75270980997465
0,10.4160542781425,2.1362811469498326,2,Z0_2,3,-105.0,-76.81663782005637,-79.691613538374,-73.86943565999148
0,10.650952771020545,1.6320271405997997,2,Z0_2,4,-73.9117179499236,-71.3949549204121,-85.9649739910153,-64.16304797256882
0,10.44635778916629,1.5863800261773275,2,Z0_2,4,-70.43179954503053,-80.56425387968393,-81.84643541206303,-72.29071911079991
0,10.028155538032113,1.2196424091900926,2,Z0_2,4,-72.40017845576922,-79.95663888887219,-85.57499020150377,-75.34755051745613
0,10.457648763323675,1.2376788034927324,2,Z0_2,3,-105.0,-75.30703572670969,-77.01219544930008,-68.5207544455048
0,10.859614820658326,1.127945036038028,2,Z0_2,4,-72.25374281482948,-83.42057313313175,-84.49469161160766,-65.86893071021626
0,11.185571100951291,1.1381481657620856,2,Z0_2,4,-74.71332192553633,-76.15890349475035,-83.45720083147366,-68.36215628690593
0,11.167153526299769,0.7611326528283759,2,Z0_2,4,-69.48005388564215,-80.17532015427071,-83.17227574155847,-76.82687673928537
0,11.150659748760146,0.5399770777602012,2,Z0_2,4,-74.52808776488642,-79.95081595421848,-82.74615819148748,-71.1278700702985
0,11.219670191236547,0.9372857975629487,2,Z0_2,3,-105.0,-76.70213286208478,-79.3523200046387,-69.44263220781481
0,11.230731503494415,0.5874197822383974,2,Z0_2,4,-70.44938486592676,-87.42241493564053,-86.78392830074279,-74.52582235097917
0,11.476473912702003,1.117593977013112,2,Z0_2,4,-76.67718923718664,-80.86438642959449,-86.05562493783121,-74.9940563636565
